No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    59:08.548      5:58:17.187    5:58:51.120    33.933     33.933     Paused by player, Unpause by player
2    59:11.648      5:58:54.201    5:59:05.535    11.334     11.334     Paused by player, Unpause by player
3    59:16.248      5:59:10.133    6:03:18.508    248.375               Paused by player, Unpause by changed look direction
4    59:32.049      6:03:33.858    6:03:34.552    0.694      0.694      Paused by player, Unpause by player
5    1:01:03.699    6:05:06.152    6:05:23.765    17.613     17.613     Paused by player, Unpause by player
6    1:01:06.899    6:05:26.953    6:05:27.740    0.787      0.787      Paused by player, Unpause by player
7    1:01:09.849    6:05:30.643    6:05:31.564    0.921      0.921      Paused by player, Unpause by player
8    1:01:16.199    6:05:37.898    6:06:09.748    31.850     31.850     Paused by player, Unpause by player
9    1:01:22.099    6:06:15.633    6:06:22.542    6.909      6.909      Paused by player, Unpause by player
10   1:01:23.649    6:06:24.067    6:06:25.555    1.488      1.488      Paused by player, Unpause by player
11   1:01:24.149    6:06:26.042    6:06:29.709    3.667      3.667      Paused by player, Unpause by player
12   1:02:00.399    6:07:05.928    6:07:13.309    7.381      7.381      Paused by player, Unpause by player
13   1:02:13.249    6:07:26.150    6:07:27.880    1.730      1.730      Paused by player, Unpause by player
14   1:02:18.049    6:07:32.642    6:07:34.916    2.274      2.274      Paused by player, Unpause by player
15   1:02:18.899    6:07:35.755    6:07:36.465    0.710      0.710      Paused by player, Unpause by player
16   1:02:19.149    6:07:36.691    6:07:39.620    2.929      2.929      Paused by player, Unpause by player
17   1:02:25.899    6:07:46.368    6:07:50.020    3.652      3.652      Paused by player, Unpause by player
18   1:02:26.599    6:07:50.717    6:07:52.448    1.731      1.731      Paused by player, Unpause by player
19   1:02:33.049    6:07:58.861    6:08:01.813    2.952      2.952      Paused by player, Unpause by player
20   1:02:50.449    6:08:19.176    6:08:51.231    32.055     32.055     Paused by player, Unpause by player
21   1:02:51.349    6:08:52.088    6:09:24.124    32.036     32.036     Paused by player, Unpause by player
22   1:02:52.499    6:09:25.245    6:09:57.160    31.915     31.915     Paused by player, Unpause by player
23   1:02:52.999    6:09:57.619    6:09:58.497    0.878      0.878      Paused by player, Unpause by player
24   1:02:53.499    6:09:58.977    6:10:11.353    12.376     12.376     Paused by player, Unpause by player
25   1:05:17.249    6:12:35.098    6:13:38.355    63.257     63.257     Paused by player, Unpause by player
26   1:06:06.799    6:14:27.917    6:19:38.568    310.651    310.651    Paused by player, Unpause by player
27   1:06:26.799    6:19:58.561    6:20:09.239    10.678     10.678     Paused by player, Unpause by player
